"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.nlogo"
"Containment Policy"
"04/02/2020 10:41:33:899 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-60","60"
"[run number]","Illness_period","SpatialDistance","Proportion_Isolating","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Bed_Capacity","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Send_to_Hospital","ProductionRate","Incubation_Period","Case_Isolation","Initial","ID_Rate","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = 10 ] * (Total_Population / 1000 / Population )","sum [ reserves ] of simuls with [ color != black ]"
"11","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","6","0","7.581993890017375E7"
"14","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","3.5","0","7.216068333354254E7"
"8","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","6","0","7.50984337694667E7"
"3","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","6","0","7.588190571554741E7"
"15","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.409399813329594E7"
"16","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","6","0","7.320175611568289E7"
"10","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.488269738329284E7"
"9","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.353322463320412E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.291846303236331E7"
"5","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.526922162730378E7"
"13","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.367375103337178E7"
"7","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.346573218598843E7"
"12","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","6","0","7.551540255326328E7"
"2","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0","6","0","7.602319887507005E7"
"8","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2145","7","0","7.509843376946679E7"
"4","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2212","4.5","0","7.625348612305711E7"
"14","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2139","4.5","0","7.216068333354284E7"
"16","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.214","7","0","7.320175611568299E7"
"3","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2169","7","0","7.588190571554747E7"
"11","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2213","7","0","7.581993890017349E7"
"15","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.226","7","0","7.409399813329595E7"
"9","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2153","7","0","7.353322463320385E7"
"1","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","1","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.0E-4","6","0","7.297796881697841E7"
"10","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2219","7","0","7.48826973832931E7"
"5","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2181","7","0","7.526922162730396E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2168","7","0","7.291846303236322E7"
"13","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.225","4","0","7.367375103337164E7"
"7","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2116","7","0","7.346573218598859E7"
"2","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2199","7","0","7.60231988750702E7"
"12","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2242","7","0","7.551540255326304E7"
"8","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2826666666666667","8","0","7.506917939546537E7"
"14","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2918","5.5","0","7.22012993180383E7"
"4","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2916666666666667","5.5","0","7.624708679600431E7"
"11","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.29473333333333335","8","0","7.583349538179947E7"
