"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Wuhan"
"04/15/2020 22:16:39:301 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","SE_Illnesspd","se_Incubation","se_compliance","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"7","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","1","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","0.7224","5.441860465116279","25","8375719.617268671","0","0","0","0","2","0","43","0","0"
"1","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","1","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","0.7224","5.441860465116279","23","8747238.173075529","0","0","0","0","1","0","43","0","0"
"4","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","44","2456","0","0","0","0","0","0","0","0","0","0","0","0","0.6478","6.5227272727272725","0","8782309.892203052","0","0","0","0","0","0","44","0","0"
"3","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","46","2454","0","0","0","0","0","0","0","0","0","0","0","0","0.6512","6.369565217391305","3","8513046.049803173","0","0","0","0","0","1","46","0","0"
"5","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","45","2455","0","0","0","0","0","0","0","0","0","0","0","0","0.614","6.377777777777778","2","8850428.401509885","0","0","0","0","5","0","45","0","0"
"6","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","46","2454","0","0","0","0","0","0","0","0","0","0","0","0","0.6286","6.391304347826087","1","8894988.78244667","0","0","0","0","1","0","46","0","0"
"7","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","44","2456","0","0","0","0","0","0","0","0","0","0","0","0","0.6274","6.386363636363637","0","8375719.617268665","0","0","0","0","2","1","44","0","0"
"2","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","47","2453","0","0","0","0","0","0","0","0","0","0","0","0","0.6444","6.319148936170213","2","8678245.95211955","0","0","0","0","1","0","47","0","0"
"8","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","45","2455","0","0","0","0","0","0","0","0","0","0","0","0","0.6334","6.511111111111111","1","8578725.18940659","0","0","0","0","4","1","45","0","0"
"1","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","2","45","2455","0","0","0","0","0","0","0","0","0","0","0","0","0.6398","6.377777777777778","3","8747238.173075521","0","0","0","0","1","1","45","0","0"
"7","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","3","46","2454","0","0","0","0","0","0","0","0","0","0","0","0","0.5989333333333333","7.173913043478261","1","8356271.792470049","0","0","0","0","2","17","46","0","0"
"6","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","3","48","2452","0","0","0","0","0","0","0","0","0","0","0","0","0.5993333333333334","7.25","2","8876908.835397432","0","0","0","0","1","23","48","0","0"
"3","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","3","49","2451","0","0","0","0","0","0","0","0","0","0","0","0","0.6153333333333334","7.1020408163265305","1","8491857.766027264","0","0","0","0","0","20","49","0","0"
"5","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","3","47","2453","0","0","0","0","0","0","0","0","0","0","0","0","0.5850666666666667","7.212765957446808","0","8830173.699922802","0","0","0","0","5","19","47","0","0"
