"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Aus"
"04/14/2020 15:39:42:785 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","SE_Illnesspd","se_Incubation","se_compliance","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","3","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.3357333333333334","6.5","0","8620887.242191294","0","0","0","0","0","0","2","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3337333333333334","8","0","8466937.763621071","0","0","0","0","0","1","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.328","7","0","8126903.983175601","0","0","0","0","0","0","1","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.3802","5","0","8259198.074456411","0","0","0","0","0","2","4","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3410666666666667","9","0","8786146.706342248","0","0","0","0","0","0","1","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.3773","7","0","8567614.990525866","0","1","0","0","0","0","2","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","1","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-4","5","2","8416620.364423307","0","0","0","0","0","0","2","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.3768","7.5","0","8620682.804907968","0","0","0","0","0","1","2","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3755","8","0","8124861.675946295","0","0","0","0","0","1","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.38","9","0","8703185.416959079","0","0","0","0","0","0","1","0","0"
