Lockdown_Off2,FALSE,,,,,,Date,Mean R,New cases / day,Current Infections,Total Infections
64,0.956309524,143.5,2641,1582.3,,,22-Mar,0.97,178,3056,1910.3
65,1.145833333,154,2817,1766.8,,,23-Mar,0.57,187,3288.5,2064.3
66,0.966111111,178,3056,1910.3,,,24-Mar,0.82,200,3509.5,2242.3
67,0.56952381,187,3288.5,2064.3,,,25-Mar,1.17,272.5,3822.5,2429.3
68,0.818809524,200,3509.5,2242.3,,,26-Mar,1.00,276.5,4141.5,2629.3
69,1.16547619,272.5,3822.5,2429.3,,,27-Mar,1.41,301,4446,2901.8
70,0.999166667,276.5,4141.5,2629.3,,,28-Mar,0.91,278.5,4663.5,3178.3
71,1.410703463,301,4446,2901.8,,,29-Mar,1.07,298.5,5056,3479.3
72,0.911071429,278.5,4663.5,3178.3,,,30-Mar,1.13,321,5219,3757.8
73,1.06952381,298.5,5056,3479.3,,,31-Mar,1.14,334.5,5238,4056.3
74,1.12875,321,5219,3757.8,,,1-Apr,0.97,435,5192,4377.3
75,1.135126263,334.5,5238,4056.3,,,2-Apr,1.25,424.5,5105,4711.8
76,0.96666692,435,5192,4377.3,,,3-Apr,1.08,463.5,4925.5,5146.8
77,1.253809524,424.5,5105,4711.8,,,4-Apr,0.82,437,4779.5,5571.3
78,1.07965812,463.5,4925.5,5146.8,,,5-Apr,0.79,516.5,4585,6034.8
79,0.821004274,437,4779.5,5571.3,,,6-Apr,1.03,319.5,4372,6471.8
80,0.786805556,516.5,4585,6034.8,,,7-Apr,0.77,211,4109,6988.3
81,1.029983107,319.5,4372,6471.8,,,8-Apr,0.89,123,3881,7307.8
82,0.769642857,211,4109,6988.3,,,9-Apr,0.68,110,3615.5,7518.8
83,0.887957516,123,3881,7307.8,,,10-Apr,0.59,92.5,3250.5,7641.8
84,0.675040678,110,3615.5,7518.8,,,11-Apr,0.47,130,2871.5,7751.8
85,0.592997852,92.5,3250.5,7641.8,,,12-Apr,0.50,93.5,2488.5,7844.3
86,0.469852941,130,2871.5,7751.8,,,13-Apr,0.44,57,2095,7974.3
87,0.495522966,93.5,2488.5,7844.3,,,14-Apr,0.28,42,1603,8067.8
88,0.436742424,57,2095,7974.3,,,15-Apr,0.33,88.5,1308.5,8124.8
89,0.279204545,42,1603,8067.8,,,16-Apr,0.31,76,1117.5,8166.8
90,0.328112178,88.5,1308.5,8124.8,,,17-Apr,0.21,70.05,1020.5,8255.3
91,0.30587344,76,1117.5,8166.8,,,18-Apr,0.43,56.05,937.4,8331.3
92,0.20530303,70.05,1020.5,8255.3,,,19-Apr,0.18,55.5,880.25,8401.35
93,0.427480237,56.05,937.4,8331.3,,,20-Apr,0.35,50.5,772.45,8457.4
94,0.181064665,55.5,880.25,8401.35,,,21-Apr,0.29,35.7,693.5,8512.9
95,0.348017128,50.5,772.45,8457.4,,,22-Apr,0.18,31.3,636.65,8563.4
96,0.285447885,35.7,693.5,8512.9,,,23-Apr,0.32,24.3,608.5,8599.1
97,0.179090909,31.3,636.65,8563.4,,,24-Apr,0.41,18.2,537.95,8630.4
98,0.317550505,24.3,608.5,8599.1,,,25-Apr,0.28,27,469.7,8654.7
99,0.409919066,18.2,537.95,8630.4,,,26-Apr,0.23,34.7,405.1,8672.9
100,0.277890247,27,469.7,8654.7,,,27-Apr,0.26,13.7,359.15,8699.9
101,0.227671589,34.7,405.1,8672.9,,,28-Apr,0.38,12,318.5,8734.6
102,0.264414462,13.7,359.15,8699.9,,,29-Apr,0.25,11.05,274.7,8748.3
103,0.383495671,12,318.5,8734.6,,,30-Apr,0.66,15.7,241.15,8760.3
104,0.247305195,11.05,274.7,8748.3,,,1-May,0.41,13.55,218,8771.35
105,0.661504329,15.7,241.15,8760.3,,,2-May,0.54,9.55,199.45,8787.05
106,0.414772727,13.55,218,8771.35,,,3-May,0.37,7.2,185.75,8800.6
107,0.541818182,9.55,199.45,8787.05,,,4-May,0.25,8.2,166.45,8810.15
108,0.365422078,7.2,185.75,8800.6,,,5-May,0.39,5.55,137,8817.35
109,0.25280303,8.2,166.45,8810.15,,,6-May,0.49,8.75,125.35,8825.55
110,0.389015152,5.55,137,8817.35,,,7-May,0.33,3.65,117.6,8831.1
111,0.490731225,8.75,125.35,8825.55,,,8-May,0.34,5.95,107.95,8839.85
